Date,Open,High,Low,Close,Volume
2022-01-03,151.1671,152.2872,149.4748,151.1671,4178621.0
2022-01-04,151.6378,153.2042,149.783,150.8992,5056766.0
2022-01-05,150.5665,154.1234,152.3454,152.4181,7186053.0
2022-01-06,151.9193,156.6896,155.1797,155.987,6727018.0
2022-01-07,155.9849,156.2961,154.6182,155.4867,5500546.0
2022-01-10,155.3809,155.5921,154.5002,154.9881,1797991.0
2022-01-11,154.7071,159.5033,157.6141,158.751,7471138.0
2022-01-12,159.1932,161.7475,159.8209,160.6372,5784749.0
2022-01-13,161.251,159.6197,158.2181,159.5578,7348699.0
2022-01-14,159.6142,161.9795,160.2209,160.9099,4231404.0
2022-01-17,161.8609,160.189,158.1586,159.8432,2314188.0
2022-01-18,159.1132,158.8419,158.527,158.778,2607359.0
2022-01-19,158.655,159.7079,156.7567,159.4032,718401.0
2022-01-20,158.9461,156.0649,154.0857,154.9399,1485132.0
2022-01-21,153.7831,151.7246,148.9303,151.0278,659292.0
2022-01-24,150.9778,150.7095,149.5671,149.8042,6220146.0
2022-01-25,149.7313,148.1813,146.8207,147.5898,5191066.0
2022-01-26,148.4833,149.4917,147.7574,148.3316,3667759.0
2022-01-27,148.7059,146.4852,145.9938,146.3689,963937.0
2022-01-28,145.7693,144.2054,142.8574,143.3438,3464391.0
2022-01-31,144.4069,148.5315,145.9609,146.574,7387056.0
2022-02-01,147.2899,146.7575,145.4516,146.1223,3181206.0
2022-02-02,146.4625,147.0899,146.2857,146.3143,1692097.0
2022-02-03,146.1817,143.9175,140.8082,143.2635,7143433.0
2022-02-04,142.7137,143.009,140.1766,142.141,687771.0
2022-02-07,141.9294,144.4769,141.9233,142.4205,737199.0
2022-02-08,143.0407,141.8479,139.9821,140.0247,7790213.0
2022-02-09,141.0802,140.9125,140.723,140.8583,6503899.0
2022-02-10,141.7278,139.9269,138.9514,139.6368,3357281.0
2022-02-11,139.3637,140.075,137.9309,139.0689,3232481.0
2022-02-14,138.446,138.565,137.5768,137.8607,5334777.0
2022-02-15,137.9384,143.6719,139.8946,141.7873,2774316.0
2022-02-16,140.7843,141.8761,141.3482,141.8011,4102615.0
2022-02-17,141.9844,140.9635,138.8881,139.611,2083214.0
2022-02-18,139.5285,142.1239,140.84,141.3866,1251518.0
2022-02-21,141.123,138.9153,137.1141,138.8626,1013313.0
2022-02-22,137.9768,140.2993,137.9738,139.3402,7834182.0
2022-02-23,139.6264,135.7608,133.7589,135.3445,4431586.0
2022-02-24,135.0561,133.7829,132.4762,132.7145,3714215.0
2022-02-25,132.0934,133.7614,132.0316,133.1469,6940150.0
2022-02-28,131.6172,135.5707,132.8562,134.6704,6915309.0
2022-03-01,134.6556,136.2781,134.5617,135.0575,3960989.0
2022-03-02,136.0149,135.4355,133.7001,134.8639,2832214.0
2022-03-03,135.7601,135.8452,134.255,134.2964,2830229.0
2022-03-04,134.0509,133.9882,131.2088,131.3902,5581820.0
2022-03-07,131.0737,130.847,129.099,130.0181,5766662.0
2022-03-08,130.2619,129.7579,128.4876,129.1616,2363462.0
2022-03-09,128.6458,131.4786,129.61,131.2654,6597216.0
2022-03-10,131.4239,132.3752,130.4243,131.9833,1154224.0
2022-03-11,132.3877,129.1985,127.1577,128.5772,2750397.0
2022-03-14,129.2083,129.3321,128.5958,129.2426,2499284.0
2022-03-15,129.1908,128.6968,128.1298,128.5368,2501676.0
2022-03-16,128.432,128.4654,126.7734,127.2764,7962290.0
2022-03-17,126.8294,128.7496,128.2201,128.4881,2184532.0
2022-03-18,128.0631,130.8823,129.9551,130.5298,954418.0
2022-03-21,130.4115,132.8419,131.6942,132.4057,6225496.0
2022-03-22,132.6002,131.2988,130.7618,130.7886,1972542.0
2022-03-23,131.2665,130.6731,129.0007,130.2224,4973014.0
2022-03-24,129.8041,131.3235,130.3411,130.9104,5356854.0
2022-03-25,131.692,133.3275,132.486,132.8799,7797567.0
2022-03-28,132.7358,132.2738,131.1532,131.9679,1062621.0
2022-03-29,131.9566,133.826,128.6405,131.6403,4029801.0
2022-03-30,131.2469,130.4152,128.3224,129.5126,5308163.0
2022-03-31,128.2568,127.5796,125.4767,127.2477,7960295.0
2022-04-01,127.6977,130.0849,128.4731,128.8467,6784851.0
2022-04-04,129.2265,131.9636,130.356,131.5342,2098099.0
2022-04-05,131.3862,133.5746,130.0703,131.4316,4694463.0
2022-04-06,131.4668,134.5414,132.2256,133.4651,4313233.0
2022-04-07,133.7405,136.2402,133.729,134.2313,7789869.0
2022-04-08,133.3923,133.3525,132.6099,132.9785,1711569.0
2022-04-11,132.6971,133.7612,133.6912,133.7415,5061307.0
2022-04-12,134.1664,138.74,136.3814,136.9039,1695885.0
2022-04-13,136.217,137.2294,136.7873,136.8714,1656083.0
2022-04-14,137.0321,140.4094,138.7251,140.1637,2474324.0
